Unnamed: 0,college_name,location,course_fees,review,rank,Average Package,Highest Package,Cutoff rank in CSE
1652,"Adwaita Mission Institute of Technology- [AMIT], Banka","Banka, Bihar","₹ 60,000",7.6 / 10,,460000,,60192
1653,"Samskruti College of Engineering and Technology -[SCET], Hyderabad","Hyderabad, Telangana","₹ 72,000",7.6 / 10,,,,114643
1654,"RR Group of Institutions, Bangalore","Bangalore, Karnataka","₹ 80,000",7.6 / 10,,450000,,193967
1655,"Sagar Institute of Research & Technology - [SIRT], Indore","Indore, Madhya Pradesh","₹ 50,000",7.5 / 10,#156th/218  in India   2021,,,136495
1656,"Ambal Professional Group of Institutions, Palladam","Palladam, Tamil Nadu","₹ 50,000",7.1 / 10,,,,130135
1657,"Apollo Institute Of Engineering and Technology, Ahmedabad","Ahmedabad, Gujarat","₹ 61,000",7.2 / 10,,500000,,149928
1658,"College of Agricultural Engineering and Technology - [CAET], Bhubaneswar","Bhubaneswar, Orissa","₹ 60,399",7.8 / 10,,,,62480
1659,"Rungta Educational Foundation Bhilai Campus, Bhilai","Bhilai, Chhattisgarh","₹ 30,000",8.2 / 10,#126th/147  in India   2019,350000,1800000,163462
1660,"Trinity Academy of Engineering - [TAE], Pune","Pune, Maharashtra","₹ 80,770",7.9 / 10,#83th/170  in India   2023,350000,1200000,193158
1661,"Sardar Patel College of Engineering - [SPCE], Anand","Anand, Gujarat","₹ 60,000",08-Oct,,,,96844
1662,"Government Engineering College, Bellary","Bellary, Karnataka","₹ 24,370",7.1 / 10,,420000,,172232
1663,"University College of Engineering Ramanathapuram, Anna University - [UCER], Ramanathapuram","Ramanathapuram, Tamil Nadu","₹ 43,810",7.5 / 10,,,,88355
1664,"PSN Institute of Technology and Science - [PSNITS], Tirunelveli","Tirunelveli, Tamil Nadu","₹ 50,000",7.6 / 10,,450000,,78607
1665,"Rungta Engineering College - [REC], Raipur","Raipur, Chhattisgarh","₹ 79,064",7.1 / 10,,,,73219
1666,"Manav Rachna University, Faculty of Engineering, Faridabad","Faridabad, Haryana","₹ 2,44,000",7.9 / 10,#98th/238  in India   2022,400000,,32967
1667,"Central Institute of Plastics Engineering & Technology - [CIPET], Raipur","Raipur, Chhattisgarh","₹ 25,810",7.3 / 10,,,,3091
1668,"Ch. Ranbir Singh State Institute of Engineering and Technology - [CRS-SIET], Jhajjar","Jhajjar, Haryana","₹ 40,000",6.6 / 10,,350000,,172724
1669,"Samarth Group of Institutions - [SGOI], Pune","Pune, Maharashtra","₹ 80,000",,,,,144696
1670,"G. H. Raisoni University - [GHRU], Amravati","Amravati, Maharashtra","₹ 87,000",7.9 / 10,,340000,450000,183465
1671,"Government Engineering College - [GEC], Buxar","Buxar, Bihar",--,08-Oct,,350000,,148558
1672,"Ajmer Institute of Technology, Ajmer","Ajmer, Rajasthan",--,6.1 / 10,,,,32483
1673,"Central College of Engineering and Management - [CCEM], Raipur","Raipur, Chhattisgarh","₹ 2,73,000",5.2 / 10,,420000,,192890
