Unnamed: 0,college_name,location,course_fees,review,Average Package,Highest Package,Cutoff rank in CSE
494,"Alagappa College of Technology, Anna University - [ACT], Chennai","Chennai, Tamil Nadu",57160,8.4,541800,1060000,33871
495,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT], Bardoli","Bardoli, Gujarat",94000,7.5,500000,1200000,70366
496,"K.S. School of Engineering and Management- [KSSEM], Bangalore","Bangalore, Karnataka",125000,7.2,560000,1100000,181094
497,"University Institute of Engineering and Technology - [UIET], Kanpur","Kanpur, Uttar Pradesh",83643,6.5,550000,1500000,97767
498,"Vivekananda Institute of Technology - [VIT], Jaipur","Jaipur, Rajasthan",88000,7.7,250000,900000,33356
499,"PERI Institute of Technology - [PERIT], Chennai","Chennai, Tamil Nadu",55000,7.1,541800,1200000,182397
500,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati, Pune","Pune, Maharashtra",96000,8.1,280000,1300000,161299
501,"Adhiparasakthi College of Engineering Arcot - [APCE], Vellore","Vellore, Tamil Nadu",40000,8.4,541800,1100000,70601
502,"SRM Institute of Science and Technology Ramapuram Campus, Chennai","Chennai, Tamil Nadu",210000,7.453557199772339,9500000,980000,48309
503,"St. Andrews Institute of Technology and Management - [SAITM], Gurgaon","Gurgaon, Haryana",92000,8.6,700000,1000000,88414
504,"Deccan College of Engineering and Technology - [DCET], Hyderabad","Hyderabad, Telangana",72000,7.7,541800,3700000,25768
505,"CMR Technical Campus - [CMRTC], Hyderabad","Hyderabad, Telangana",105000,7.8,500000,890000,168651
506,"Maharaja Ranjit Singh Punjab Technical University, Bathinda","Bathinda, Punjab",89600,7.4,541800,1040000,99734
507,"SRM, Institute of Technology, Lucknow","Lucknow, Uttar Pradesh",117500,8.3,1000000,2500000,93017
508,"University College of Engineering, JNTUK, Vizianagaram","Vizianagaram, Andhra Pradesh",15300,7.3,541800,1800000,55996
509,"St.Joseph's Institute of Technology - [SJIT], Chennai","Chennai, Tamil Nadu",200000,8.7,225000,325000,57761
510,"Ramco Institute of Technology - [RIT], Rajapalayam","Rajapalayam, Tamil Nadu",50000,8.6,580000,1200000,180646
511,"ITM Vocational University - [ITMVU], Vadodara","Vadodara, Gujarat",69500,7.8,350000,1200000,92153
512,"Coochbehar Government Engineering College, Cooch Behar","Cooch Behar, West Bengal",6000,7.453557199772339,541800,3600000,112334
513,"Ramkrishna Mahato Government Engineering College, Purulia","Purulia, West Bengal",12220,7.8,541800,2417680,134566
514,"Greater Noida Institute of Technology, IPU - [GNIT], Greater Noida","Greater Noida, Uttar Pradesh",109500,7.5,380000,1000000,113562
515,"Netaji Subhas University - [NSU], Jamshedpur","Jamshedpur, Jharkhand",70000,8.6,350000,1000000,127108
516,"Motihari College of Engineering - [MCE], Motihari","Motihari, Bihar",105000,7.453557199772339,541800,3400000,179788
517,"Ghani Khan Choudhury Institute Of Engineering and Technology -[GKCIET], Malda","Malda, West Bengal",27170,7.9,541800,1140000,469
518,"Greater Noida Institute of Technology (Engineering Institute), Greater Noida","Greater Noida, Uttar Pradesh",149400,7.6,500000,1090000,111580
519,"Siksha 'O' Anusandhan University - [SOA], Bhubaneswar","Bhubaneswar, Orissa",235000,8.5,630000,1000000,193342
520,"NIILM University, Kaithal","Kaithal, Haryana",65000,8.1,450000,890000,186041
521,"IEC University Baddi - [ICEU], Solan","Solan, Himachal Pradesh",118600,8.5,400000,900000,198041
522,"Jagdishprasad Jhabarmal Tibrewala University - [JJTU], Jhunjhunu","Jhunjhunu, Rajasthan",56000,6.5,541800,850000,145294
523,"Maulana Azad University, Jodhpur","Jodhpur, Rajasthan",60500,7.453557199772339,350000,1100000,59271
524,"Himalayan University - [HU], Itanagar","Itanagar, Arunachal Pradesh",0,7.7,380000,2417680,65628
525,"Shobhit University, Gangoh","Gangoh, Uttar Pradesh",91100,6.9,240000,720000,55471
526,"St.Joseph University, Dimapur","Dimapur, Nagaland",123000,8.1,541800,1200000,112210
527,"Radha Govind University - [RGU], Ramgarh","Ramgarh, Jharkhand",60000,8.5,541800,1160000,79039
528,"Jawaharlal Nehru Engineering College - [JNEC], Aurangabad","Aurangabad, Maharashtra",169000,8.2,350000,750000,87206
529,"Mohamed Sathak Engineering College - [MSEC], Ramanathapuram","Ramanathapuram, Tamil Nadu",60000,7.3,550000,1080000,51667
530,"AVS Engineering College - [AVSEC], Salem","Salem, Tamil Nadu",70000,6.8,541800,800000,136833
531,"Ahmedabad Institute of Technology, Ahmedabad","Ahmedabad, Gujarat",71000,7.1,325000,550000,22677
532,"Alagappa Chettiar College of Engineering and Technology, Karaikudi","Karaikudi, Tamil Nadu",9440,7.3,541800,1100000,39408
533,"Amritsar College of Engineering and Technology - [ACET], Amritsar","Amritsar, Punjab",403024,7.4,1200000,860000,37865
